id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
3240,Network Administrator,Energya Cables,10th of Ramadan City,Full Time,Experienced,5-7 Yrs of Exp,Sharqia,Computer Science- IT- Network Administration- Networking- MCSE- MCSA- Routing- Switching- IT/Software Development
3241,Key Account Manager,Rashideen Egypt for Trade,Basatin,Full Time,Manager,5+ Yrs of Exp,Cairo,FMCG- Sales Skills- Customer Care- Customer Service- English- Customer Service/Support- Sales/Retail
3242,Senior PHP Developer (Laravel),Our Education,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,PHP- Computer Science- Laravel- HTML5- CSS3- MVC- Programming- javaScript- Information Technology (IT)- Servers- Git- Front-End
3243,Senior Vue Developer,Our Education,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,Information Technology (IT)- javaScript- HTML5- Vue- CSS3- React- SASS- LESS- Computer Science- Development- SEO- Engineering
3244,Software Development Team leader,Our Education,Nasr City,Full Time,Manager,5+ Yrs of Exp,Cairo,Software Development- Software Engineering- Computer Science- Web Development- PHP- OOP- Angular- Testing- Laravel
3245,Senior Sales Engineer,International co for Electrical & Electronic Industries Electro George,Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,Engineering- Sales Target- Low Voltage- ABB- Gas- Oil- Switchgear- English- Parts- Computer Skills- Sales/Retail
3246,Node.js / React / Next.js & Liquid Developer,MatsMall,Cairo,Full Time,Work From Home,2-4 Yrs of Exp,Egypt,Computer Science- HTML5- Node.js- React- javaScript- Information Technology (IT)- Software Development- JSON- Front-End- jQuery
3247,"Project Engineer ""AutoCAD Expert""",Mamiba,6th of October,Freelance / Project,Experienced,2-4 Yrs of Exp,Giza,Microsoft Office- English- Civil- Architect- Engineering- Engineering - Construction/Civil/Architecture- Project/Program Management
3248,Sales Executive - B2B Channel,Cairo Trading,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,Sales Target- B2B- Sales/Retail
3249,Sales Executive - Power Retailer,Cairo Trading,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,Sales Target- Mechanical Engineering- Sales Engineering- Sales/Retail- Engineering - Mechanical/Electrical
3250,Junior Mechanical Sales Engineer,Imatec company,Downtown,Full Time,Experienced,5+ Yrs of Exp,Cairo,Sales Skills- Pumps- Sales Target- Sales/Retail- Engineering - Mechanical/Electrical
3251,Senior Mechanical Sales Engineer,Imatec company,Downtown,Full Time,Experienced,10+ Yrs of Exp,Cairo,Sales Skills- Pumps- Sales Target- Sales/Retail- Engineering - Mechanical/Electrical
3252,Secretary/ Receptionist,Imatec company,Downtown,Full Time,Experienced,10+ Yrs of Exp,Cairo,Administration- Secretary- Office Management- Microsoft Office- Administration
3253,Planning Site Engineer,Teraz,Khobar,Full Time,Entry Level,1-3 Yrs of Exp,Saudi Arabia,AutoCAD- Projects- Primavera- Construction- Microsoft Office- Civil Engineering- Engineering - Construction/Civil/Architecture
